epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.479598,1.72523,2.93577,1.98919,0.00333,1,0.995,0.8955,0.33713,2.90087,1.20801,0,0,0
2,0.674918,1.74521,3.00633,2.1321,0.00333,1,0.995,0.8955,0.34355,2.90058,1.21191,1.9802e-05,1.9802e-05,1.9802e-05
3,0.907049,1.61929,3.09112,2.0711,0.00333,1,0.995,0.8955,0.34264,2.90034,1.21523,3.9208e-05,3.9208e-05,3.9208e-05
4,1.06689,1.62586,2.8739,1.84402,0.00333,1,0.995,0.8955,0.33966,2.90746,1.22818,5.8218e-05,5.8218e-05,5.8218e-05
5,1.23045,2.06804,3.10119,2.1804,0.00333,1,0.995,0.8955,0.34197,2.8981,1.18519,7.6832e-05,7.6832e-05,7.6832e-05
6,1.46689,1.9823,2.99954,2.01124,0.00333,1,0.995,0.8955,0.35679,2.86528,1.11246,9.505e-05,9.505e-05,9.505e-05
7,1.82121,1.25441,2.94108,1.75435,0.00333,1,0.995,0.8955,0.36661,2.86687,1.16429,0.000112872,0.000112872,0.000112872
8,2.18282,1.07825,2.71216,1.50495,0.00333,1,0.995,0.8955,0.41941,2.88128,1.19941,0.000130298,0.000130298,0.000130298
9,2.53612,0.66992,2.53163,1.25441,0.00333,1,0.995,0.8955,0.49459,2.88479,1.20735,0.000147328,0.000147328,0.000147328
10,2.9057,0.74121,2.36143,1.32883,0.00333,1,0.995,0.6965,0.56752,2.86853,1.38366,0.000163962,0.000163962,0.000163962
11,3.16446,0.70606,2.342,1.20347,0.00333,1,0.995,0.60285,0.67177,2.95033,1.47663,0.0001802,0.0001802,0.0001802
12,3.45605,0.77899,2.28831,1.2423,0.00333,1,0.995,0.61121,0.67951,2.94415,1.61453,0.000196042,0.000196042,0.000196042
13,3.73256,0.7445,2.28026,1.33929,0.00333,1,0.995,0.53067,0.85295,3.01506,1.66795,0.000211488,0.000211488,0.000211488
14,4.01543,0.82348,2.26927,1.44586,0.00333,1,0.995,0.398,0.92366,3.14698,1.84644,0.000226538,0.000226538,0.000226538
15,4.29429,0.75443,2.4014,1.41889,0.00333,1,0.995,0.398,0.97961,3.03611,1.77739,0.000241192,0.000241192,0.000241192
16,4.57195,0.84705,2.15121,1.28263,0.00333,1,0.995,0.398,0.92995,2.9765,1.69035,0.00025545,0.00025545,0.00025545
17,4.83044,0.83058,1.98571,1.30405,0.00333,1,0.995,0.64675,0.76351,2.99483,1.59283,0.000269312,0.000269312,0.000269312
18,5.09922,0.64848,1.90808,1.27532,0.00333,1,0.995,0.64675,0.76351,2.99483,1.59283,0.000282778,0.000282778,0.000282778
19,5.37583,0.65676,1.80029,1.15949,0.00333,1,0.995,0.796,0.61862,2.82671,1.5514,0.000295848,0.000295848,0.000295848
20,5.63708,0.69719,1.79191,1.19444,0.00333,1,0.995,0.796,0.61862,2.82671,1.5514,0.000308522,0.000308522,0.000308522
21,5.91313,0.74539,1.85482,1.21429,0.00333,1,0.995,0.8955,0.82934,2.81227,1.73335,0.0003208,0.0003208,0.0003208
22,6.21215,0.67188,1.7297,1.15903,0.00333,1,0.995,0.8955,0.82934,2.81227,1.73335,0.000332682,0.000332682,0.000332682
23,6.55031,0.74836,1.72872,1.20874,0.00333,1,0.995,0.796,0.90977,2.81158,1.88398,0.000344168,0.000344168,0.000344168
24,6.80531,0.8379,1.79968,1.45277,0.00333,1,0.995,0.796,0.90977,2.81158,1.88398,0.000355258,0.000355258,0.000355258
25,7.07239,0.78596,1.6752,1.23748,0.00333,1,0.995,0.597,1.15774,3.04729,2.13261,0.000365952,0.000365952,0.000365952
26,7.35566,0.52732,1.47275,1.07337,0.00333,1,0.995,0.597,1.15774,3.04729,2.13261,0.00037625,0.00037625,0.00037625
27,7.63894,0.73282,1.67438,1.12053,0.00333,1,0.995,0.398,1.34006,3.07445,2.30423,0.000386152,0.000386152,0.000386152
28,7.89081,0.76014,1.6003,1.35725,0.00333,1,0.995,0.398,1.34006,3.07445,2.30423,0.000395658,0.000395658,0.000395658
29,8.16307,0.62036,1.46797,1.08918,0.00333,1,0.995,0.43117,1.6232,3.09096,2.36963,0.000404768,0.000404768,0.000404768
30,8.4192,0.67929,1.40651,1.21943,0.00333,1,0.995,0.43117,1.6232,3.09096,2.36963,0.000413482,0.000413482,0.000413482
31,8.71362,0.69652,1.67912,1.24677,0.00333,1,0.995,0.56383,1.25052,3.40204,1.7279,0.0004218,0.0004218,0.0004218
32,8.989,0.76481,1.55202,1.24477,0.00333,1,0.995,0.56383,1.25052,3.40204,1.7279,0.000429722,0.000429722,0.000429722
33,9.26876,0.99934,1.55949,1.41832,0.00333,1,0.995,0.597,0.85057,3.13141,1.37306,0.000437248,0.000437248,0.000437248
34,9.5434,0.65547,1.42615,1.22224,0.00333,1,0.995,0.597,0.85057,3.13141,1.37306,0.000444378,0.000444378,0.000444378
35,9.83487,0.74657,1.35443,1.221,0.00333,1,0.995,0.597,0.6018,2.94537,1.19257,0.000451112,0.000451112,0.000451112
36,10.0815,0.7727,1.4167,1.20965,0.00333,1,0.995,0.597,0.6018,2.94537,1.19257,0.00045745,0.00045745,0.00045745
37,10.3679,0.72261,1.26316,1.15776,0.00333,1,0.995,0.597,0.49739,2.67463,1.20541,0.000463392,0.000463392,0.000463392
38,10.6271,0.58961,1.11264,1.07096,0.00333,1,0.995,0.597,0.49739,2.67463,1.20541,0.000468938,0.000468938,0.000468938
39,10.9168,0.66858,1.19117,1.2128,0.00624,1,0.995,0.54725,0.55027,2.90157,1.21569,0.000474088,0.000474088,0.000474088
40,11.1928,0.5128,1.14798,1.04424,0.00624,1,0.995,0.54725,0.55027,2.90157,1.21569,0.000478842,0.000478842,0.000478842
41,11.4592,0.80815,1.33003,1.29559,0.51611,1,0.995,0.4975,0.55184,3.00324,1.21977,0.0004832,0.0004832,0.0004832
42,11.7492,0.54219,1.17455,1.0878,0.51611,1,0.995,0.4975,0.55184,3.00324,1.21977,0.000487162,0.000487162,0.000487162
43,12.037,0.74569,1.15848,1.23281,0.57692,1,0.995,0.4975,0.57891,3.0331,1.2513,0.000490728,0.000490728,0.000490728
44,12.3127,0.50779,1.23462,1.19832,0.57692,1,0.995,0.4975,0.57891,3.0331,1.2513,0.000493898,0.000493898,0.000493898
45,12.5719,0.56676,1.18694,1.1345,0.55079,1,0.995,0.46433,0.5691,3.00515,1.22837,0.000496672,0.000496672,0.000496672
46,12.8548,0.56226,1.07542,1.06357,0.55079,1,0.995,0.46433,0.5691,3.00515,1.22837,0.00049905,0.00049905,0.00049905
47,13.1357,0.68684,1.00887,1.23244,0.83119,1,0.995,0.597,0.46928,2.64623,1.12522,0.000501032,0.000501032,0.000501032
48,13.413,0.57812,0.93908,1.02516,0.83119,1,0.995,0.597,0.46928,2.64623,1.12522,0.000502618,0.000502618,0.000502618
49,13.676,0.45797,1.16601,1.13363,0.61054,1,0.995,0.64675,0.58467,2.12375,1.31443,0.000503808,0.000503808,0.000503808
50,13.9507,0.57634,0.99734,1.11689,0.61054,1,0.995,0.64675,0.58467,2.12375,1.31443,0.000504602,0.000504602,0.000504602
51,14.253,0.71356,1.14664,1.16369,0.90783,1,0.995,0.8955,0.66125,1.91704,1.47408,0.000505,0.000505,0.000505
52,14.5987,0.72162,1.17584,1.19996,0.90783,1,0.995,0.8955,0.66125,1.91704,1.47408,0.000505002,0.000505002,0.000505002
53,14.9379,0.63182,1.11315,1.14164,0.90783,1,0.995,0.8955,0.66125,1.91704,1.47408,0.000504608,0.000504608,0.000504608
54,15.2771,0.80608,1.07313,1.22583,0.94919,1,0.995,0.796,0.58482,1.70085,1.30284,0.000503818,0.000503818,0.000503818
55,15.5456,0.66224,1.29304,1.15628,0.94919,1,0.995,0.796,0.58482,1.70085,1.30284,0.000502632,0.000502632,0.000502632
56,15.8027,0.75121,1.14278,1.0807,0.94919,1,0.995,0.796,0.58482,1.70085,1.30284,0.00050105,0.00050105,0.00050105
57,16.0755,0.55589,0.96609,1.07755,0.96318,1,0.995,0.8955,0.49256,1.54076,1.33617,0.000499072,0.000499072,0.000499072
58,16.4058,0.6288,1.10979,1.12699,0.96318,1,0.995,0.8955,0.49256,1.54076,1.33617,0.000496698,0.000496698,0.000496698
59,16.7229,0.64987,1.19582,1.1139,0.96318,1,0.995,0.8955,0.49256,1.54076,1.33617,0.000493928,0.000493928,0.000493928
60,17.0654,0.61089,1.11085,1.08839,0.96049,1,0.995,0.8955,0.55339,1.51192,1.47591,0.000490762,0.000490762,0.000490762
61,17.3992,0.67065,0.97977,1.21653,0.96049,1,0.995,0.8955,0.55339,1.51192,1.47591,0.0004872,0.0004872,0.0004872
62,17.7495,0.88498,1.23935,1.2643,0.96049,1,0.995,0.8955,0.55339,1.51192,1.47591,0.000483242,0.000483242,0.000483242
63,18.1066,0.58196,0.99974,1.15398,0.96538,1,0.995,0.796,0.64494,1.40923,1.65888,0.000478888,0.000478888,0.000478888
64,18.3664,0.67612,1.23738,1.20092,0.96538,1,0.995,0.796,0.64494,1.40923,1.65888,0.000474138,0.000474138,0.000474138
